,Review,Review_norm,review_tokens,review_tokens_SR
25,tim avo salah kirim barang yg dikirim toner dengan harga rb karena sdg musim pandemi saya malas kirim balik barang toh ongkir juga saya yg tanggung pastinya kan saya juga akhirnya memutuskan untuk tetap beli serum ini saya pikir hal normal klo kesalahan penjual untuk selisih bayar bukan tanggung jawab pembeli dong ya saya pikir jg rb walaupun avo juga kasih voucher untuk pembelian senilai rb saya kasih kabar cs kalau saya sudah beli serum dan dipastikan jgn ada salah kirim lagi yg saya dapatkan adalah saya diminta bayar kekurangan ya ampun bukan masalah rb sih cuma pake logika aja kalian yg salah kalian yg bkn ribet kemudian apakah diperbolehkan saya tokopedia untuk trf ke rekening seller ya,tim avo salah kirim barang yang dikirim toner dengan harga ribu karena sedang musim pandemi saya malas kirim balik barang toh ongkir juga saya yang tanggung pastinya kan saya juga akhirnya memutuskan untuk tetap beli serum ini saya pikir hal normal kalo kesalahan penjual untuk selisih bayar bukan tanggung jawab pembeli dong ya saya pikir juga ribu walaupun avo juga kasih voucher untuk pembelian senilai ribu saya kasih kabar customer service kalau saya sudah beli serum dan dipastikan jangan ada salah kirim lagi yang saya dapatkan adalah saya diminta bayar kekurangan ya ampun bukan masalah ribu sih cuma pakai logika saja kalian yang salah kalian yang bukan ribet kemudian apakah diperbolehkan saya tokopedia untuk trf ke rekening seller ya,"['tim', 'avo', 'salah', 'kirim', 'barang', 'yang', 'dikirim', 'toner', 'dengan', 'harga', 'ribu', 'karena', 'sedang', 'musim', 'pandemi', 'saya', 'malas', 'kirim', 'balik', 'barang', 'toh', 'ongkir', 'juga', 'saya', 'yang', 'tanggung', 'pastinya', 'kan', 'saya', 'juga', 'akhirnya', 'memutuskan', 'untuk', 'tetap', 'beli', 'serum', 'ini', 'saya', 'pikir', 'hal', 'normal', 'kalo', 'kesalahan', 'penjual', 'untuk', 'selisih', 'bayar', 'bukan', 'tanggung', 'jawab', 'pembeli', 'dong', 'ya', 'saya', 'pikir', 'juga', 'ribu', 'walaupun', 'avo', 'juga', 'kasih', 'voucher', 'untuk', 'pembelian', 'senilai', 'ribu', 'saya', 'kasih', 'kabar', 'customer', 'service', 'kalau', 'saya', 'sudah', 'beli', 'serum', 'dan', 'dipastikan', 'jangan', 'ada', 'salah', 'kirim', 'lagi', 'yang', 'saya', 'dapatkan', 'adalah', 'saya', 'diminta', 'bayar', 'kekurangan', 'ya', 'ampun', 'bukan', 'masalah', 'ribu', 'sih', 'cuma', 'pakai', 'logika', 'saja', 'kalian', 'yang', 'salah', 'kalian', 'yang', 'bukan', 'ribet', 'kemudian', 'apakah', 'diperbolehkan', 'saya', 'tokopedia', 'untuk', 'trf', 'ke', 'rekening', 'seller', 'ya']","['tim', 'avo', 'salah', 'kirim', 'barang', 'dikirim', 'toner', 'harga', 'ribu', 'musim', 'pandemi', 'malas', 'kirim', 'barang', 'ongkir', 'tanggung', 'pastinya', 'memutuskan', 'beli', 'serum', 'pikir', 'normal', 'kalo', 'kesalahan', 'penjual', 'selisih', 'bayar', 'tanggung', 'pembeli', 'ya', 'pikir', 'ribu', 'avo', 'kasih', 'voucher', 'pembelian', 'senilai', 'ribu', 'kasih', 'kabar', 'customer', 'service', 'beli', 'serum', 'salah', 'kirim', 'dapatkan', 'bayar', 'kekurangan', 'ya', 'ampun', 'ribu', 'sih', 'pakai', 'logika', 'salah', 'ribet', 'diperbolehkan', 'tokopedia', 'trf', 'rekening', 'seller', 'ya']"
26,kecewa,kecewa,['kecewa'],['kecewa']
27,tokok tidak amanah pembohong gak sesuai ucapan jualan asal laku aja kecewa,tokok tidak amanah pembohong enggak sesuai ucapan jualan asal laku saja kecewa,"['tokok', 'tidak', 'amanah', 'pembohong', 'enggak', 'sesuai', 'ucapan', 'jualan', 'asal', 'laku', 'saja', 'kecewa']","['tokok', 'amanah', 'pembohong', 'sesuai', 'ucapan', 'jualan', 'laku', 'kecewa']"
28,kecewa sama pembelian di toko ini saya dikirim barang rusak tapi tidak ada tanggubg jawab dan dipersulit liat deh serum nya mengkristal ga jelas gt dan tisp beli selalu aja isi produk di dalamnya berdebu,kecewa sama pembelian di toko ini saya dikirim barang rusak tapi tidak ada tanggubg jawab dan dipersulit lihat deh serum nya mengkristal enggak jelas begitu dan tisp beli selalu saja isi produk di dalamnya berdebu,"['kecewa', 'sama', 'pembelian', 'di', 'toko', 'ini', 'saya', 'dikirim', 'barang', 'rusak', 'tapi', 'tidak', 'ada', 'tanggubg', 'jawab', 'dan', 'dipersulit', 'lihat', 'deh', 'serum', 'nya', 'mengkristal', 'enggak', 'jelas', 'begitu', 'dan', 'tisp', 'beli', 'selalu', 'saja', 'isi', 'produk', 'di', 'dalamnya', 'berdebu']","['kecewa', 'pembelian', 'toko', 'dikirim', 'barang', 'rusak', 'tanggubg', 'dipersulit', 'lihat', 'deh', 'serum', 'nya', 'mengkristal', 'tisp', 'beli', 'isi', 'produk', 'dalamnya', 'berdebu']"
29,belum terlihat manfaatnya,belum terlihat manfaatnya,"['belum', 'terlihat', 'manfaatnya']",['manfaatnya']
30,suncreen spf isinya kosong ngak ngerti dengan qcnya,suncreen spf isinya kosong enggak mengerti dengan qcnya,"['suncreen', 'spf', 'isinya', 'kosong', 'enggak', 'mengerti', 'dengan', 'qcnya']","['suncreen', 'spf', 'isinya', 'kosong', 'mengerti', 'qcnya']"
31,dari awal menerima isi udah berkurang cukup bnyak kali prtama kecewa,dari awal menerima isi sudah berkurang cukup banyak kali prtama kecewa,"['dari', 'awal', 'menerima', 'isi', 'sudah', 'berkurang', 'cukup', 'banyak', 'kali', 'prtama', 'kecewa']","['menerima', 'isi', 'berkurang', 'kali', 'prtama', 'kecewa']"
32,gak ada isinya kecewa banget,enggak ada isinya kecewa banget,"['enggak', 'ada', 'isinya', 'kecewa', 'banget']","['isinya', 'kecewa', 'banget']"
33,bruntusan,bruntusan,['bruntusan'],['bruntusan']
34,ga cocok banget sm kulitku sedih bawah mata bengkak pdahal baru pake kali spertinya alergi sm bbrp bahan di dalamnya sayang banget,enggak cocok banget sama kulitku sedih bawah mata bengkak padahal baru pakai kali sepertinya alergi sama beberapa bahan di dalamnya sayang banget,"['enggak', 'cocok', 'banget', 'sama', 'kulitku', 'sedih', 'bawah', 'mata', 'bengkak', 'padahal', 'baru', 'pakai', 'kali', 'sepertinya', 'alergi', 'sama', 'beberapa', 'bahan', 'di', 'dalamnya', 'sayang', 'banget']","['cocok', 'banget', 'kulitku', 'sedih', 'mata', 'bengkak', 'pakai', 'kali', 'alergi', 'bahan', 'dalamnya', 'sayang', 'banget']"
35,aku pesen pcs toner essence  dikabari ekspedisi dusnya rembes air sedih padahal tonerku udh tiris jdinya kutolak paketnya ujungnya duit dibalikin huft bikin lama lagi di video yg dikirimin ekspedisi terlihat tonernya ini aman gak berkurang sama skali tp mau ga mau kubalikin nya,aku pesan pcs toner essence  dikabari ekspedisi dusnya rembes air sedih padahal tonerku sudah tiris jdinya kutolak paketnya ujungnya duit dibalikin huft bikin lama lagi di video yang dikirimin ekspedisi terlihat tonernya ini aman enggak berkurang sama sekali tapi mau enggak mau kubalikin nya,"['aku', 'pesan', 'pcs', 'toner', 'essence', 'dikabari', 'ekspedisi', 'dusnya', 'rembes', 'air', 'sedih', 'padahal', 'tonerku', 'sudah', 'tiris', 'jdinya', 'kutolak', 'paketnya', 'ujungnya', 'duit', 'dibalikin', 'huft', 'bikin', 'lama', 'lagi', 'di', 'video', 'yang', 'dikirimin', 'ekspedisi', 'terlihat', 'tonernya', 'ini', 'aman', 'enggak', 'berkurang', 'sama', 'sekali', 'tapi', 'mau', 'enggak', 'mau', 'kubalikin', 'nya']","['pesan', 'pcs', 'toner', 'essence', 'dikabari', 'ekspedisi', 'dusnya', 'rembes', 'air', 'sedih', 'tonerku', 'tiris', 'jdinya', 'kutolak', 'paketnya', 'ujungnya', 'duit', 'dibalikin', 'huft', 'bikin', 'video', 'dikirimin', 'ekspedisi', 'tonernya', 'aman', 'berkurang', 'kubalikin', 'nya']"
36,bocor paket basah sedih,bocor paket basah sedih,"['bocor', 'paket', 'basah', 'sedih']","['bocor', 'paket', 'basah', 'sedih']"
37,ga kebayang kalo sunscreen ml itu stlh dipencet isinya hampir ga ada maaf ya tapi mending ganti sku yg lbh banyak ml nya,enggak terbayang kalo sunscreen ml itu setelah dipencet isinya hampir enggak ada maaf ya tapi mending ganti sku yang lebih banyak ml nya,"['enggak', 'terbayang', 'kalo', 'sunscreen', 'ml', 'itu', 'setelah', 'dipencet', 'isinya', 'hampir', 'enggak', 'ada', 'maaf', 'ya', 'tapi', 'mending', 'ganti', 'sku', 'yang', 'lebih', 'banyak', 'ml', 'nya']","['terbayang', 'kalo', 'sunscreen', 'ml', 'dipencet', 'isinya', 'maaf', 'ya', 'mending', 'ganti', 'sku', 'ml', 'nya']"
38,udah pede ga akan ada masalah karena dari official store jadi pas buka ga divideo taunya ada satu yg atasnya udah sobek gitu dan tentunya semua essencenya kering sudah lesson learned jaman skrg memang semua paket harus video unboxing bahkan dari toko terpercaya sekalipun,sudah percaya diri enggak akan ada masalah karena dari official store jadi pas buka enggak divideo taunya ada satu yang atasnya sudah sobek begitu dan tentunya semua essencenya kering sudah lesson learned jaman sekarang memang semua paket harus video unboxing bahkan dari toko terpercaya sekalipun,"['sudah', 'percaya', 'diri', 'enggak', 'akan', 'ada', 'masalah', 'karena', 'dari', 'official', 'store', 'jadi', 'pas', 'buka', 'enggak', 'divideo', 'taunya', 'ada', 'satu', 'yang', 'atasnya', 'sudah', 'sobek', 'begitu', 'dan', 'tentunya', 'semua', 'essencenya', 'kering', 'sudah', 'lesson', 'learned', 'jaman', 'sekarang', 'memang', 'semua', 'paket', 'harus', 'video', 'unboxing', 'bahkan', 'dari', 'toko', 'terpercaya', 'sekalipun']","['percaya', 'official', 'store', 'pas', 'buka', 'divideo', 'taunya', 'atasnya', 'sobek', 'essencenya', 'kering', 'lesson', 'learned', 'jaman', 'paket', 'video', 'unboxing', 'toko', 'terpercaya']"
39,hasilnya belom nampak udah minggu pemakaian,hasilnya belum menampak sudah minggu pemakaian,"['hasilnya', 'belum', 'menampak', 'sudah', 'minggu', 'pemakaian']","['hasilnya', 'menampak', 'minggu', 'pemakaian']"
40,segel plastik  sdh gk ada pas  buka krtas dlm  udh robek kek udh di unboxing,segel plastik  sudah enggak ada pas  buka krtas dalam  sudah robek kayak sudah di unboxing,"['segel', 'plastik', 'sudah', 'enggak', 'ada', 'pas', 'buka', 'krtas', 'dalam', 'sudah', 'robek', 'kayak', 'sudah', 'di', 'unboxing']","['segel', 'plastik', 'pas', 'buka', 'krtas', 'robek', 'kayak', 'unboxing']"
41,tutup tidak rapat bocor sampai isinya habis proses komplain ribet sekali harus kirim balik kemasan kosongnya,tutup tidak rapat bocor sampai isinya habis proses komplain ribet sekali harus kirim balik kemasan kosongnya,"['tutup', 'tidak', 'rapat', 'bocor', 'sampai', 'isinya', 'habis', 'proses', 'komplain', 'ribet', 'sekali', 'harus', 'kirim', 'balik', 'kemasan', 'kosongnya']","['tutup', 'rapat', 'bocor', 'isinya', 'habis', 'proses', 'komplain', 'ribet', 'kirim', 'kemasan', 'kosongnya']"
42,no review found,no review found,"['no', 'review', 'found']","['no', 'review', 'found']"
43,tidak diberikan bonus sesuai deskripsi,tidak diberikan bonus sesuai deskripsi,"['tidak', 'diberikan', 'bonus', 'sesuai', 'deskripsi']","['bonus', 'sesuai', 'deskripsi']"
44,timbul banyak jerawat kecil,timbul banyak jerawat kecil,"['timbul', 'banyak', 'jerawat', 'kecil']","['timbul', 'jerawat']"
45,gak cocok bikin gatal dan iritasi pas pemakaian minggu coba berhenti minggu trus pake lagi ternyata sama aja gatal dan iritasi jd breakout gitu,enggak cocok bikin gatal dan iritasi pas pemakaian minggu coba berhenti minggu terus pakai lagi ternyata sama saja gatal dan iritasi jadi breakout begitu,"['enggak', 'cocok', 'bikin', 'gatal', 'dan', 'iritasi', 'pas', 'pemakaian', 'minggu', 'coba', 'berhenti', 'minggu', 'terus', 'pakai', 'lagi', 'ternyata', 'sama', 'saja', 'gatal', 'dan', 'iritasi', 'jadi', 'breakout', 'begitu']","['cocok', 'bikin', 'gatal', 'iritasi', 'pas', 'pemakaian', 'minggu', 'coba', 'berhenti', 'minggu', 'pakai', 'gatal', 'iritasi', 'breakout']"
46,kok bisa isinya kosong aduhhh,kok bisa isinya kosong aduh,"['kok', 'bisa', 'isinya', 'kosong', 'aduh']","['isinya', 'kosong', 'aduh']"
47,aku senang dapat pc nya yoongi tapi aku kecewa sama barangnya aku mau coba make sunscreennya udah aku pencet kok gak mau keluar ternyata isinya udah mau habis,aku senang dapat pc nya yoongi tapi aku kecewa sama barangnya aku mau coba memakai sunscreennya sudah aku pencet kok enggak mau keluar ternyata isinya sudah mau habis,"['aku', 'senang', 'dapat', 'pc', 'nya', 'yoongi', 'tapi', 'aku', 'kecewa', 'sama', 'barangnya', 'aku', 'mau', 'coba', 'memakai', 'sunscreennya', 'sudah', 'aku', 'pencet', 'kok', 'enggak', 'mau', 'keluar', 'ternyata', 'isinya', 'sudah', 'mau', 'habis']","['senang', 'pc', 'nya', 'yoongi', 'kecewa', 'barangnya', 'coba', 'memakai', 'sunscreennya', 'pencet', 'isinya', 'habis']"
48,promonya serum toner tp dikirim duanya serum,promonya serum toner tapi dikirim duanya serum,"['promonya', 'serum', 'toner', 'tapi', 'dikirim', 'duanya', 'serum']","['promonya', 'serum', 'toner', 'dikirim', 'duanya', 'serum']"
